record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,row6,Root Registry And Corpus Admission,Demonstrate that Root Registry And Corpus Admission converts a visible input into the named output without exceeding the claim ceiling.,retrieval method + adversarial model + claim-support standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Root Registry And Corpus Admission; confirm source identity, retrieval path, support state, and output: admitted corpus records plus holding, failed....",GREEN - proof packet ready for live capture
claim_crosswalk,row6,Bibliographic Identity And Authority Control,Demonstrate that Bibliographic Identity And Authority Control converts a visible input into the named output without exceeding the claim ceiling.,retrieval method + adversarial model + claim-support standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Bibliographic Identity And Authority Control; confirm source identity, retrieval path, support state, and output: bibliographic identity record and authority-control....",GREEN - proof packet ready for live capture
claim_crosswalk,row6,Extraction Pipeline,Demonstrate that Extraction Pipeline converts a visible input into the named output without exceeding the claim ceiling.,retrieval method + adversarial model + claim-support standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Extraction Pipeline; confirm source identity, retrieval path, support state, and output: source profile, structural extraction database....",GREEN - proof packet ready for live capture
claim_crosswalk,row6,Hybrid Retrieval Plane,Demonstrate that Hybrid Retrieval Plane converts a visible input into the named output without exceeding the claim ceiling.,retrieval method + adversarial model + claim-support standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Hybrid Retrieval Plane; confirm source identity, retrieval path, support state, and output: ranked evidence candidates with provenance....",GREEN - proof packet ready for live capture
claim_crosswalk,row6,Query Decomposition And Evidence Search,Demonstrate that Query Decomposition And Evidence Search converts a visible input into the named output without exceeding the claim ceiling.,retrieval method + adversarial model + claim-support standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Query Decomposition And Evidence Search; confirm source identity, retrieval path, support state, and output: evidence packet organized around answerable claim units.",GREEN - proof packet ready for live capture
claim_crosswalk,row6,Citation Validation And Claim Support,Demonstrate that Citation Validation And Claim Support converts a visible input into the named output without exceeding the claim ceiling.,retrieval method + adversarial model + claim-support standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Citation Validation And Claim Support; confirm source identity, retrieval path, support state, and output: claim-to-evidence decision packet as a reviewable....",GREEN - proof packet ready for live capture
claim_crosswalk,row6,Contradiction And Red-Team Review,Demonstrate that Contradiction And Red-Team Review converts a visible input into the named output without exceeding the claim ceiling.,retrieval method + adversarial model + claim-support standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Contradiction And Red-Team Review; confirm source identity, retrieval path, support state, and output: contradiction review and narrowed claim ceiling.",GREEN - proof packet ready for live capture
claim_crosswalk,row6,Abstention And Refusal Gate,Demonstrate that Abstention And Refusal Gate converts a visible input into the named output without exceeding the claim ceiling.,retrieval method + adversarial model + claim-support standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Abstention And Refusal Gate; confirm source identity, retrieval path, support state, and output: answer, qualified answer, follow-up search plan....",GREEN - proof packet ready for live capture
claim_crosswalk,row6,Evidence Export And Permission Membrane,Demonstrate that Evidence Export And Permission Membrane converts a visible input into the named output without exceeding the claim ceiling.,retrieval method + adversarial model + claim-support standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through Evidence Export And Permission Membrane; confirm source identity, retrieval path, support state, and output: share-authorized export package or blocked share....",GREEN - proof packet ready for live capture
claim_crosswalk,row6,State / Share / Retention Constitution,Demonstrate that State / Share / Retention Constitution converts a visible input into the named output without exceeding the claim ceiling.,retrieval method + adversarial model + claim-support standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one corpus query or source-admission fixture through State / Share / Retention Constitution; confirm source identity, retrieval path, support state, and output: state/share/retention proof record and review-ready....",GREEN - proof packet ready for live capture
